opt_useAddressPrecalc,opt_vectorize,simd_avoidUnaligned,data_alignFieldPointers,opt_unroll_interleave,opt_unroll,no_explorationId,explorationId,poly_tileSize_x,poly_tileSize_y,poly_tileSize_z,Compile-performance-,Fixed-compile-cpu-,_source_row,_source_algorithm,_source_file
1,0,0,0,0,1,1,0,0,0,0,1615.6,3.029099,8196,AGEMOEA,outputs\AGEMOEA\SS-X.csv
1,0,0,0,0,1,1,0,0,0,0,1615.6,3.029099,8196,combined_frontiers,outputs\combined_frontiers\SS-X.csv
1,1,0,0,0,3,1,0,0,0,0,1589.6,3.912733,43031,combined_frontiers,outputs\combined_frontiers\SS-X.csv
0,1,0,0,0,1,1,0,0,0,0,1598.0,3.09018,28686,combined_frontiers,outputs\combined_frontiers\SS-X.csv
1,0,0,0,0,1,1,0,0,0,0,1615.6,3.029099,8196,NSGA2,outputs\NSGA2\SS-X.csv
1,0,0,0,0,1,1,0,0,0,0,1615.6,3.029099,8196,NSGA3,outputs\NSGA3\SS-X.csv
1,0,0,0,0,1,1,0,0,0,0,1615.6,3.029099,8196,RNSGA3,outputs\RNSGA3\SS-X.csv
1,1,0,0,0,3,1,0,0,0,0,1589.6,3.912733,43031,RVEA,outputs\RVEA\SS-X.csv
0,1,0,0,0,1,1,0,0,0,0,1598.0,3.09018,28686,RVEA,outputs\RVEA\SS-X.csv
1,0,0,0,0,1,1,0,0,0,0,1615.6,3.029099,8196,RVEA,outputs\RVEA\SS-X.csv
1,0,0,0,0,1,1,0,0,0,0,1615.6,3.029099,8196,UNSGA3,outputs\UNSGA3\SS-X.csv
