Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-,_source_row
3,1000,100,3,12,10,34740.0,1130.6,2625
3,1000,100,2,12,1000,30962.0,1087.6,2615
1,100,10,2,12,100,22829.0,45.261,886
1,2,2,3,6,1000,4011.7,4.7038,320
3,10,3,3,6,1000,19597.0,18.542,2048
3,1,2,3,6,10,6217.8,4.8766,1518
1,10,1,3,6,1000,13699.0,7.8794,512
1,10,1,3,6,100,13519.0,7.825,511
3,10,3,3,6,10,19542.0,18.181,2046
3,2,2,3,6,10,9678.6,6.5096,1758
3,1,2,3,6,100,5751.9,4.7603,1519
1,1,1,3,6,1000,2937.4,3.46,32
3,2,1,3,6,100,9768.2,6.6561,1711
1,10,1,3,12,100,12830.0,7.8115,514
3,2,2,3,12,100,8718.1,6.5013,1762
3,10,2,3,6,100,18617.0,17.469,1999
