twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,Threads,TokenParts,ArnrMaxFrames,ArnrStrength,Performance-,Energy-,Cpu-,_source_row
1,1,0,0,1,1,1,0,1,4,2,15,0,5183.8,246.8,44.972,45
0,1,0,0,1,1,0,0,1,3,0,5,3,5494.0,217.6,41.388,31
0,1,0,0,1,1,0,0,1,2,1,5,3,6313.4,258.6,37.333333,3
1,1,0,0,1,1,1,0,0,2,2,5,0,6293.2,294.8,36.186667,88
1,1,0,0,1,1,1,0,0,4,2,15,3,5400.2,237.6,46.700667,13
1,1,0,0,1,1,1,0,1,3,2,0,0,5583.4,273.8,41.9,72
1,1,0,0,1,1,1,0,1,3,2,15,0,5509.2,274.8,41.26,73
0,1,0,0,1,1,0,0,0,4,2,5,0,5491.8,281.4,43.660667,18
0,1,0,0,1,1,0,0,1,4,1,5,3,5461.4,282.6,42.310667,22
0,1,0,0,1,1,0,0,1,4,1,15,3,5239.8,232.0,42.272,36
1,1,0,0,1,1,1,0,0,4,1,15,0,5267.4,244.8,44.819333,75
1,1,0,0,1,1,1,0,1,1,1,5,3,7838.8,313.6,31.0725,16
1,1,0,0,1,1,1,0,0,1,2,5,3,7929.2,348.8,28.175,65
1,1,0,0,1,1,1,0,0,1,1,15,6,7777.4,335.4,27.797143,69
1,1,0,1,0,1,1,0,1,2,2,15,0,29030.6,1194.4,42.342069,86
1,1,0,0,1,1,1,0,1,1,0,5,0,7921.8,299.6,28.336786,63
1,1,0,1,0,1,1,0,0,1,2,5,3,48158.4,1663.8,26.397686,33
